Time,BLOCK1:BEDROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:BEDROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Sens Cool Load [W],BLOCK1:BEDROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:BEDROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Cool Mass Flow [kg/s],BLOCK1:BATHROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:BATHROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Sens Cool Load [W],BLOCK1:BATHROOM:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:BATHROOM:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) JUL:Des Cool Mass Flow [kg/s],BLOCK1:KITCHEN:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Load [W],BLOCK1:KITCHEN:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) AUG:Des Sens Cool Load [W],BLOCK1:KITCHEN:WINTER DESIGN DAY IN MODELLO (O1-O4:3O-O9):Des Heat Mass Flow [kg/s],BLOCK1:KITCHEN:SUMMER DESIGN DAY IN MODELLO (O1-O4:3O-O9) AUG:Des Cool Mass Flow [kg/s]
00:10:00,5.189807E+02,2.824524E+02,3.345003E-02,1.979829E-02,1.326736E+02,8.005314E+01,8.551735E-03,5.611166E-03,5.434875E+02,3.651598E+02,3.502863E-02,2.559783E-02
00:20:00,5.189447E+02,2.748856E+02,3.344771E-02,1.926789E-02,1.326652E+02,7.761788E+01,8.551189E-03,5.440467E-03,5.434495E+02,3.554826E+02,3.502619E-02,2.491944E-02
00:30:00,5.189090E+02,2.675321E+02,3.344541E-02,1.875244E-02,1.326568E+02,7.526355E+01,8.550648E-03,5.275441E-03,5.434119E+02,3.461405E+02,3.502376E-02,2.426453E-02
00:40:00,5.188736E+02,2.603828E+02,3.344313E-02,1.825131E-02,1.326484E+02,7.298677E+01,8.550111E-03,5.115851E-03,5.433745E+02,3.371142E+02,3.502135E-02,2.363176E-02
00:50:00,5.188385E+02,2.534313E+02,3.344087E-02,1.776404E-02,1.326402E+02,7.078432E+01,8.549579E-03,4.961471E-03,5.433374E+02,3.283878E+02,3.501896E-02,2.302002E-02
01:00:00,5.188037E+02,2.466711E+02,3.343862E-02,1.729017E-02,1.326320E+02,6.865311E+01,8.549050E-03,4.812085E-03,5.433006E+02,3.199459E+02,3.501659E-02,2.242821E-02
01:10:00,5.188062E+02,2.401799E+02,3.343879E-02,1.683516E-02,1.326326E+02,6.660880E+01,8.549089E-03,4.668790E-03,5.433032E+02,3.118593E+02,3.501676E-02,2.186131E-02
01:20:00,5.188088E+02,2.339209E+02,3.343895E-02,1.639643E-02,1.326332E+02,6.464197E+01,8.549128E-03,4.530925E-03,5.433059E+02,3.040838E+02,3.501693E-02,2.131622E-02
01:30:00,5.188113E+02,2.278889E+02,3.343911E-02,1.597361E-02,1.326338E+02,6.275014E+01,8.549166E-03,4.398318E-03,5.433085E+02,2.966090E+02,3.501710E-02,2.079221E-02
01:40:00,5.188137E+02,2.220792E+02,3.343927E-02,1.556636E-02,1.326344E+02,6.093094E+01,8.549203E-03,4.270803E-03,5.433111E+02,2.894248E+02,3.501727E-02,2.028857E-02
