Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 04/27  10:40:00,27449.355190974,27449.355190974,0.0,,,,,,,469913.90342730047,50307.334954919,0.0 
 04/27  10:50:00,27449.355190974,27449.355190974,0.0,,,,,,,470756.1718198676,50307.334954919,0.0 
 04/27  11:00:00,27449.355190974,27449.355190974,0.0,164696.131145844,164696.131145844,0.0,2805921.9950929877,301844.009729514,0.0,470885.5258372286,50307.334954919,0.0 
 04/27  11:10:00,27449.355190974,27449.355190974,0.0,,,,,,,470324.7178650322,50307.334954919,0.0 
 04/27  11:20:00,27449.355190974,27449.355190974,0.0,,,,,,,469788.68632288256,50307.334954919,0.0 
 04/27  11:30:00,27449.355190974,27449.355190974,0.0,,,,,,,469556.56661038837,50307.334954919,0.0 
 04/27  11:40:00,27449.355190974,27449.355190974,0.0,,,,,,,469281.77126372526,50307.334954919,0.0 
 04/27  11:50:00,27449.355190974,27449.355190974,0.0,,,,,,,470322.3758852678,50307.334954919,0.0 
 04/27  12:00:00,27449.355190974,27449.355190974,0.0,164696.131145844,164696.131145844,0.0,2820559.833640547,301844.009729514,0.0,471285.7156932514,50307.334954919,0.0 
 04/27  12:10:00,27449.355190974,27449.355190974,0.0,,,,,,,471587.66311567489,50307.334954919,0.0 
 04/27  12:20:00,27449.355190974,27449.355190974,0.0,,,,,,,471832.49312683238,50307.334954919,0.0 
 04/27  12:30:00,27449.355190974,27449.355190974,0.0,,,,,,,472229.95234348237,50307.334954919,0.0 
 04/27  12:40:00,27449.355190974,27449.355190974,0.0,,,,,,,472015.31449951019,50307.334954919,0.0 
 04/27  12:50:00,27449.355190974,27449.355190974,0.0,,,,,,,471461.00906121489,50307.334954919,0.0 
 04/27  13:00:00,27449.355190974,27449.355190974,0.0,164696.131145844,164696.131145844,0.0,2829555.520095663,301844.009729514,0.0,470429.08794894858,50307.334954919,0.0 
 04/27  13:10:00,27449.355190974,27449.355190974,0.0,,,,,,,469267.24450247929,50307.334954919,0.0 
 04/27  13:20:00,27449.355190974,27449.355190974,0.0,,,,,,,467817.7034891108,50307.334954919,0.0 
 04/27  13:30:00,27449.355190974,27449.355190974,0.0,,,,,,,466208.0714477592,50307.334954919,0.0 
 04/27  13:40:00,27449.355190974,27449.355190974,0.0,,,,,,,464379.1929421206,50307.334954919,0.0 
 04/27  13:50:00,27449.355190974,27449.355190974,0.0,,,,,,,462296.3795568784,50307.334954919,0.0 
 04/27  14:00:00,27449.355190974,27449.355190974,0.0,164696.131145844,164696.131145844,0.0,2789824.648104314,301844.009729514,0.0,459856.0561659663,50307.334954919,0.0 
 04/27  14:10:00,27449.355190974,27449.355190974,0.0,,,,,,,456633.7553627676,50307.334954919,0.0 
 04/27  14:20:00,27449.355190974,27449.355190974,0.0,,,,,,,452574.84300790246,50307.334954919,0.0 
 04/27  14:30:00,27449.355190974,27449.355190974,0.0,,,,,,,447591.9661283424,50307.334954919,0.0 
 04/27  14:40:00,27449.355190974,27449.355190974,0.0,,,,,,,441418.5034767635,50307.334954919,0.0 
 04/27  14:50:00,27449.355190974,27449.355190974,0.0,,,,,,,433371.0886360921,50307.334954919,0.0 
 04/27  15:00:00,27449.355190974,27449.355190974,0.0,164696.131145844,164696.131145844,0.0,2657308.1858337938,301844.009729514,0.0,425718.02922192597,50307.334954919,0.0 
