,insulation,ach,shading,orientation,wwr,Electricity:Facility,DistrictCooling:Facility
0,1e-05,5,120,0,0.1,4112009423.03464,9798873549.694988
1,1e-05,5,120,0,0.12758620689655173,4071392727.5300913,9852643881.290752
2,1e-05,5,120,0,0.15517241379310345,4027781345.142519,9912038497.130316
3,1e-05,5,120,0,0.1827586206896552,3990564699.5793667,9960258814.28049
4,1e-05,5,120,0,0.21034482758620693,3944311506.2379246,10022494426.438467
5,1e-05,5,120,0,0.23793103448275865,3906031268.3958507,10079720363.652483
6,1e-05,5,120,0,0.2655172413793104,3872893621.290563,10139363133.725567
7,1e-05,5,120,0,0.2931034482758621,3850192758.1043544,10189227709.290974
8,1e-05,5,120,0,0.3206896551724138,3822551370.0981092,10254858182.288359
9,1e-05,5,120,0,0.34827586206896555,3791491550.3564434,10331385156.406937
10,1e-05,5,120,0,0.3758620689655173,3764237105.237208,10401477945.778273
11,1e-05,5,120,0,0.403448275862069,3742575857.7395525,10458790486.172855
12,1e-05,5,120,0,0.4310344827586208,3712721922.5126686,10538407150.364786
13,1e-05,5,120,0,0.45862068965517244,3692276215.392614,10595625520.829996
14,1e-05,5,120,0,0.4862068965517242,3664143012.884263,10675305385.779863
15,1e-05,5,120,0,0.5137931034482759,3644651078.446707,10735903323.41448
16,1e-05,5,120,0,0.5413793103448277,3627788402.5887265,10795389901.345448
17,1e-05,5,120,0,0.5689655172413793,3605753589.393724,10886183860.758356
18,1e-05,5,120,0,0.5965517241379311,3592060499.5041075,10959925834.891144
19,1e-05,5,120,0,0.6241379310344828,3580685583.84311,11031426906.058647
20,1e-05,5,120,0,0.6517241379310346,3571535379.0180607,11100691418.935389
21,1e-05,5,120,0,0.6793103448275862,3558811447.8283195,11210179377.647959
22,1e-05,5,120,0,0.706896551724138,3551720335.20348,11285594585.633877
23,1e-05,5,120,0,0.7344827586206897,3544443275.6668987,11367989966.79184
24,1e-05,5,120,0,0.7620689655172415,3538285434.5167084,11445985228.058971
25,1e-05,5,120,0,0.7896551724137931,3532822755.0621696,11520088540.463442
26,1e-05,5,120,0,0.8172413793103449,3526738844.891218,11607489950.936108
27,1e-05,5,120,0,0.8448275862068966,3521571243.3006573,11690649580.737257
28,1e-05,5,120,0,0.8724137931034484,3516987236.1535645,11769824461.43322
29,1e-05,5,120,0,0.9,3512692320.8739295,11854129126.465744
30,0.1,5,120,0,0.1,4112009423.03464,7489654412.503046
31,0.1,5,120,0,0.12758620689655173,4071392727.5300913,7560839470.886736
32,0.1,5,120,0,0.15517241379310345,4027781345.142519,7637908346.576832
33,0.1,5,120,0,0.1827586206896552,3990564699.5793667,7699056076.862173
34,0.1,5,120,0,0.21034482758620693,3944311506.2379246,7781177441.498114
35,0.1,5,120,0,0.23793103448275865,3906031268.3958507,7855743029.615981
36,0.1,5,120,0,0.2655172413793104,3872893621.290563,7933951600.351338
37,0.1,5,120,0,0.2931034482758621,3850192758.1043544,7995732375.247467
38,0.1,5,120,0,0.3206896551724138,3822551370.0981092,8080426563.060402
39,0.1,5,120,0,0.34827586206896555,3791491550.3564434,8176106315.520646
40,0.1,5,120,0,0.3758620689655173,3764237105.237208,8265341575.30198
41,0.1,5,120,0,0.403448275862069,3742575857.7395525,8335330909.174364
42,0.1,5,120,0,0.4310344827586208,3712721922.5126686,8434571437.6068945
43,0.1,5,120,0,0.45862068965517244,3692276215.392614,8508759518.783819
44,0.1,5,120,0,0.4862068965517242,3664143012.884263,8607755662.715954
45,0.1,5,120,0,0.5137931034482759,3644651078.446707,8681703605.326124
46,0.1,5,120,0,0.5413793103448277,3627788402.5887265,8755357153.159216
47,0.1,5,120,0,0.5689655172413793,3605753589.393724,8866558018.672453
48,0.1,5,120,0,0.5965517241379311,3592060499.5041075,8954557303.349422
49,0.1,5,120,0,0.6241379310344828,3580685583.84311,9040072920.831657
50,0.1,5,120,0,0.6517241379310346,3571535379.0180607,9123856370.441483
51,0.1,5,120,0,0.6793103448275862,3558811447.8283195,9251780623.33776
52,0.1,5,120,0,0.706896551724138,3551720335.20348,9342344727.456833
53,0.1,5,120,0,0.7344827586206897,3544443275.6668987,9440263264.001234
54,0.1,5,120,0,0.7620689655172415,3538285434.5167084,9532356893.3424
55,0.1,5,120,0,0.7896551724137931,3532822755.0621696,9623152284.437351
56,0.1,5,120,0,0.8172413793103449,3526738844.891218,9726400444.596703
57,0.1,5,120,0,0.8448275862068966,3521571243.3006573,9820945030.902542
58,0.1,5,120,0,0.8724137931034484,3516987236.1535645,9915517143.897638
59,0.1,5,120,0,0.9,3512692320.8739295,10012816877.212988
60,0.2,5,120,0,0.1,4112009423.03464,7113232727.680941
61,0.2,5,120,0,0.12758620689655173,4071392727.5300913,7190869475.912732
62,0.2,5,120,0,0.15517241379310345,4027781345.142519,7268743022.589743
63,0.2,5,120,0,0.1827586206896552,3990564699.5793667,7338496331.953894
64,0.2,5,120,0,0.21034482758620693,3944311506.2379246,7423071193.335082
65,0.2,5,120,0,0.23793103448275865,3906031268.3958507,7501192954.394524
66,0.2,5,120,0,0.2655172413793104,3872893621.290563,7583195045.672006
